编号,标题,链接,地点,面积,朝向,布局,楼层
34,整租·西部花苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,青浦-盈浦-西部花苑,76㎡,南,2室2厅1卫,中楼层（6层）
35,整租·楼园小区 2室1厅 南,https://sh.lianjia.com/zufang/SH2331649267992895488.html,徐汇-上海南站-楼园小区,61㎡,南,2室1厅1卫,中楼层（6层）
36,整租·马当小区 2室1厅 南,https://sh.lianjia.com/zufang/SH2303498281835036672.html,黄浦-新天地-马当小区,62㎡,南,2室1厅1卫,中楼层（27层）
37,整租·康健路77弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2320820357159985152.html,徐汇-康健-康健路77弄,51㎡,南,2室1厅1卫,高楼层（6层）
38,整租·梅陇七村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2335921237375074304.html,徐汇-华东理工-梅陇七村,62㎡,南北,2室1厅1卫,低楼层（6层）
39,整租·橡胶小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2323155431876468736.html,徐汇-徐家汇-橡胶小区,37㎡,南,1室1厅1卫,中楼层（6层）
40,整租·田林六村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335971832324702208.html,徐汇-田林-田林六村,32㎡,南,1室1厅1卫,低楼层（6层）
41,整租·长海坊 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2326820227771809792.html,徐汇-康健-长海坊,61㎡,南北,2室1厅1卫,低楼层（6层）
42,整租·日晖二村 1室1厅 南,https://sh.lianjia.com/zufang/SH2318110068161118208.html,徐汇-斜土路-日晖二村,38㎡,南,1室1厅1卫,低楼层（5层）
43,整租·田林十二村 1室1厅 南,https://sh.lianjia.com/zufang/SH2334589188525539328.html,徐汇-田林-田林十二村,28㎡,南,1室1厅1卫,低楼层（6层）
44,整租·钦州路111弄 1室1厅 南,https://sh.lianjia.com/zufang/SH2326788694498869248.html,徐汇-康健-钦州路111弄,62㎡,南,1室1厅1卫,高楼层（30层）
45,整租·田林十一村 2室0厅 南,https://sh.lianjia.com/zufang/SH2323779773236510720.html,徐汇-田林-田林十一村,50㎡,南,2室0厅1卫,中楼层（6层）
46,整租·康乐小区(徐汇) 2室1厅 南,https://sh.lianjia.com/zufang/SH2320776106161995776.html,徐汇-康健-康乐小区(徐汇),51㎡,南,2室1厅1卫,低楼层（6层）
47,整租·日晖一村 1室1厅 南,https://sh.lianjia.com/zufang/SH2315999476202356736.html,徐汇-斜土路-日晖一村,41㎡,南,1室1厅1卫,中楼层（5层）
48,整租·长丰坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2330532474608173056.html,徐汇-康健-长丰坊,56㎡,南,2室1厅1卫,高楼层（6层）
49,整租·新世纪花苑(一期)(浦东) 2室1厅 南,https://sh.lianjia.com/zufang/SH2335395554516795392.html,浦东-世博-新世纪花苑(一期)(浦东),51㎡,南,2室1厅1卫,高楼层（7层）
50,整租·康健路25弄 1室1厅 南,https://sh.lianjia.com/zufang/SH2336096119442120704.html,徐汇-康健-康健路25弄,39㎡,南,1室1厅1卫,高楼层（5层）
51,整租·陈家宅小区(浦东大道) 2室1厅 南,https://sh.lianjia.com/zufang/SH2335420819418914816.html,浦东-金桥-陈家宅小区(浦东大道),58㎡,南,2室1厅0卫,高楼层（6层）
52,整租·海院小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2338356475795619840.html,浦东-源深-海院小区,42㎡,南,1室1厅1卫,高楼层（6层）
53,整租·虹桥万博花园 2室2厅 南,https://sh.lianjia.com/zufang/SH2336661211023671296.html,长宁-中山公园-虹桥万博花园,116㎡,南,2室2厅1卫,中楼层（28层）
54,整租·建业新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335348853760598016.html,浦东-南码头-建业新村,51㎡,南,1室1厅1卫,低楼层（6层）
55,整租·崮山小区二街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2333802466522431488.html,浦东-洋泾-崮山小区二街坊,46㎡,南,2室1厅1卫,中楼层（6层）
56,整租·海院新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2334613411763601408.html,浦东-源深-海院新村,54㎡,南,2室1厅1卫,低楼层（5层）
57,整租·上南十村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335307072729784320.html,浦东-世博-上南十村,43㎡,南,1室1厅1卫,低楼层（6层）
58,整租·崧泽华城秀景苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2333798045507911680.html,青浦-赵巷-崧泽华城秀景苑,69㎡,南,2室1厅1卫,中楼层（11层）
59,整租·金杨七街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2334034187013079040.html,浦东-金杨-金杨七街坊,70㎡,南,2室1厅1卫,高楼层（6层）
60,整租·河风丽景 2室1厅 南,https://sh.lianjia.com/zufang/SH2333319425895440384.html,长宁-天山-河风丽景,88㎡,南,2室1厅1卫,高楼层（19层）
61,整租·绿梅二村 2室1厅 南,https://sh.lianjia.com/zufang/SH2323683766121807872.html,闵行-莘庄-绿梅二村,66㎡,南,2室1厅1卫,高楼层（6层）
62,整租·永泰花苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2329745416582594560.html,浦东-三林-永泰花苑,72㎡,南,2室1厅1卫,高楼层（11层）
63,整租·银都新村(1至7区) 1室1厅 南/北,https://sh.lianjia.com/zufang/SH2329673075282411520.html,闵行-颛桥-银都新村(1至7区),40㎡,南北,1室1厅1卫,低楼层（6层）
64,整租·银河新都 1室1厅 南,https://sh.lianjia.com/zufang/SH2330483692301975552.html,闵行-春申-银河新都,51㎡,南,1室1厅1卫,中楼层（10层）
65,整租·金杨新村三街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2326581519562579968.html,浦东-金杨-金杨新村三街坊,43㎡,南,1室1厅1卫,高楼层（7层）
66,整租·高兴花园 1室1厅 南,https://sh.lianjia.com/zufang/SH2317443525383561216.html,闵行-春申-高兴花园,37㎡,南,1室1厅1卫,低楼层（6层）
67,整租·金桂苑(徐汇) 2室2厅 南,https://sh.lianjia.com/zufang/SH2316745305846464512.html,徐汇-康健-金桂苑(徐汇),88㎡,南,2室2厅1卫,中楼层（24层）
68,整租·凌三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2321491888936321024.html,浦东-洋泾-凌三小区,42㎡,南,1室1厅1卫,高楼层（6层）
69,整租·临沂三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2313790164327481344.html,浦东-南码头-临沂三村,39㎡,南,1室1厅1卫,高楼层（6层）
70,整租·莘松八村 2室1厅 南,https://sh.lianjia.com/zufang/SH2321532325852356608.html,闵行-莘庄-莘松八村,62㎡,南,2室1厅1卫,高楼层（6层）
71,整租·崧泽华城秀景苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2333142244016013312.html,青浦-赵巷-崧泽华城秀景苑,68㎡,南,2室1厅1卫,低楼层（11层）
72,整租·大盈公寓 3室2厅 南,https://sh.lianjia.com/zufang/SH2334727300756537344.html,青浦-夏阳-大盈公寓,113㎡,南,3室2厅1卫,高楼层（6层）
73,整租·海防新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2328770719053791232.html,浦东-洋泾-海防新村,30㎡,南,1室1厅1卫,高楼层（6层）
74,整租·海炼大楼 1室1厅 南,https://sh.lianjia.com/zufang/SH2328170232168062976.html,浦东-洋泾-海炼大楼,46㎡,南,1室1厅1卫,中楼层（18层）
75,整租·天山华庭 2室2厅 南,https://sh.lianjia.com/zufang/SH2330141108136312832.html,长宁-天山-天山华庭,91㎡,南,2室2厅1卫,低楼层（20层）
76,整租·齐八小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2322968952290156544.html,浦东-世博-齐八小区,47㎡,南,1室1厅1卫,高楼层（6层）
77,整租·新凯城银杏苑 3室2厅 南,https://sh.lianjia.com/zufang/SH2331084547388604416.html,松江-泗泾-新凯城银杏苑,89㎡,南,3室2厅1卫,高楼层（18层）
78,整租·天山怡景苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2325251858815795200.html,长宁-天山-天山怡景苑,88㎡,南,2室2厅1卫,低楼层（15层）
79,整租·凌兆新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2329634634016759808.html,浦东-三林-凌兆新村,64㎡,南,2室1厅1卫,低楼层（6层）
80,整租·吴中公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH2311565116967501824.html,徐汇-田林-吴中公寓,62㎡,南,1室1厅1卫,中楼层（22层）
81,整租·金杨六街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2310668028020260864.html,浦东-金杨-金杨六街坊,52㎡,南,1室1厅1卫,中楼层（6层）
82,整租·剑河家苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2331690827882954752.html,长宁-北新泾-剑河家苑,77㎡,南,2室1厅1卫,低楼层（15层）
83,整租·临沂八村 1室1厅 南,https://sh.lianjia.com/zufang/SH2325920407133364224.html,浦东-南码头-临沂八村,40㎡,南,1室1厅1卫,中楼层（6层）
84,整租·莘松七村 2室1厅 南,https://sh.lianjia.com/zufang/SH2321531731351977984.html,闵行-莘庄-莘松七村,68㎡,南,2室1厅1卫,中楼层（6层）
85,整租·高兴花园 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2326518928928407552.html,闵行-春申-高兴花园,67㎡,南北,2室1厅1卫,高楼层（6层）
86,整租·上海花城 2室2厅 南,https://sh.lianjia.com/zufang/SH2324426854788251648.html,长宁-中山公园-上海花城,108㎡,南,2室2厅1卫,中楼层（11层）
87,整租·莘浜路351弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2321533244723429376.html,闵行-莘庄-莘浜路351弄,60㎡,南,2室1厅1卫,高楼层（5层）
88,整租·海院小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2326808256078413824.html,浦东-源深-海院小区,42㎡,南,1室1厅1卫,低楼层（6层）
89,整租·胶南小区 1室0厅 南,https://sh.lianjia.com/zufang/SH2322968166965182464.html,浦东-南码头-胶南小区,34㎡,南,1室0厅1卫,高楼层（6层）
90,整租·金杨七街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2320057419327348736.html,浦东-金杨-金杨七街坊,49㎡,南,1室1厅1卫,中楼层（6层）
91,整租·长虹坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2325406061781598208.html,徐汇-康健-长虹坊,74㎡,南,2室1厅1卫,高楼层（4层）
92,整租·东渡青筑 2室1厅 南,https://sh.lianjia.com/zufang/SH2333304693998501888.html,青浦-盈浦-东渡青筑,90㎡,南,2室1厅1卫,高楼层（15层）
93,整租·花苑村玉兰园 2室2厅 南/北,https://sh.lianjia.com/zufang/SH2311637375119261696.html,徐汇-康健-花苑村玉兰园,77㎡,南北,2室2厅1卫,高楼层（6层）
94,整租·静安新城五区 2室2厅 南,https://sh.lianjia.com/zufang/SH2338487919436120064.html,闵行-静安新城-静安新城五区,66㎡,南,2室2厅1卫,高楼层（6层）
95,整租·天安豪园 1室1厅 南,https://sh.lianjia.com/zufang/SH2335428996608827392.html,闵行-静安新城-天安豪园,50㎡,南,1室1厅1卫,高楼层（13层）
96,整租·青春驿站 1室1厅 南,https://sh.lianjia.com/zufang/SH2335560501469659136.html,松江-九亭-青春驿站,42㎡,南,1室1厅1卫,低楼层（11层）
97,整租·虹桥河滨花园 3室2厅 南,https://sh.lianjia.com/zufang/SH2336221266065244160.html,长宁-中山公园-虹桥河滨花园,153㎡,南,3室2厅2卫,低楼层（31层）
98,整租·贝尚湾(公寓) 1室1厅 南,https://sh.lianjia.com/zufang/SH2338275745065353216.html,松江-九亭-贝尚湾(公寓),51㎡,南,1室1厅1卫,中楼层（13层）
99,整租·荣盛名邸(公寓) 2室1厅 南,https://sh.lianjia.com/zufang/SH2333908463236677632.html,松江-莘闵别墅-荣盛名邸(公寓),87㎡,南,2室1厅1卫,高楼层（18层）
100,整租·朱梅小区 2室1厅 南,https://sh.lianjia.com/zufang/SH2338104814233731072.html,闵行-梅陇-朱梅小区,86㎡,南,2室1厅1卫,中楼层（6层）
101,整租·杉林新月环林东路799弄 3室2厅 南/北,https://sh.lianjia.com/zufang/SH2335547471285198848.html,浦东-三林-杉林新月环林东路799弄,93㎡,南北,3室2厅1卫,高楼层（6层）
102,整租·品珍苑 3室2厅 复式 南,https://sh.lianjia.com/zufang/SH2336241247402344448.html,浦东-三林-品珍苑,120㎡,南,3室2厅2卫,高楼层（6层）
103,整租·九方家园 2室1厅 南,https://sh.lianjia.com/zufang/SH2337654810478133248.html,闵行-华漕-九方家园,73㎡,南,2室1厅1卫,高楼层（6层）
104,整租·报春一村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2333761502920065024.html,闵行-莘庄-报春一村,50㎡,南北,2室1厅1卫,低楼层（6层）
105,整租·罗阳七村(三洲花园) 2室1厅 南,https://sh.lianjia.com/zufang/SH2335256679383302144.html,闵行-梅陇-罗阳七村(三洲花园),61㎡,南,2室1厅1卫,中楼层（6层）
106,整租·鑫国家园 3室2厅 西南,https://sh.lianjia.com/zufang/SH2334795582348476416.html,徐汇-徐家汇-鑫国家园,155㎡,西南,3室2厅2卫,中楼层（19层）
107,整租·盛华景苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2338172407674060800.html,徐汇-华泾-盛华景苑,90㎡,南,2室2厅1卫,高楼层（28层）
108,整租·万科城市花园 1室1厅 南,https://sh.lianjia.com/zufang/SH2332708503011205120.html,闵行-七宝-万科城市花园,42㎡,南,1室1厅1卫,高楼层（6层）
109,整租·水清年华花园 2室1厅 南,https://sh.lianjia.com/zufang/SH2321113406100209664.html,闵行-七宝-水清年华花园,60㎡,南,2室1厅1卫,中楼层（11层）
110,整租·梅陇二村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2323121706769580032.html,闵行-梅陇-梅陇二村,60㎡,南北,2室1厅1卫,低楼层（6层）
111,整租·东晶国际公寓 1室2厅 西南,https://sh.lianjia.com/zufang/SH2319445848683192320.html,浦东-源深-东晶国际公寓,73㎡,西南,1室2厅1卫,高楼层（28层）
112,整租·明园小安桥 2室2厅 南,https://sh.lianjia.com/zufang/SH2310938979354017792.html,徐汇-田林-明园小安桥,87㎡,南,2室2厅1卫,中楼层（17层）
113,整租·前滩东方逸品 1室1厅 西,https://sh.lianjia.com/zufang/SH2314514893577404416.html,浦东-三林-前滩东方逸品,59㎡,西,1室1厅1卫,低楼层（33层）
114,整租·蒲汇新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2328158759002062848.html,闵行-七宝-蒲汇新村,48㎡,南,2室1厅1卫,高楼层（6层）
115,整租·新凯城尚樱苑 3室2厅 南,https://sh.lianjia.com/zufang/SH2326782924923338752.html,松江-泗泾-新凯城尚樱苑,84㎡,南,3室2厅1卫,高楼层（18层）
116,整租·贝尚湾(公寓) 1室1厅 南,https://sh.lianjia.com/zufang/SH2328863647675727872.html,松江-九亭-贝尚湾(公寓),52㎡,南,1室1厅1卫,低楼层（13层）
117,整租·象屿上海年华 2室2厅 南,https://sh.lianjia.com/zufang/SH2326118987831975936.html,松江-莘闵别墅-象屿上海年华,82㎡,南,2室2厅1卫,中楼层（8层）
118,整租·汇贤雅居 2室2厅 南/北,https://sh.lianjia.com/zufang/SH2310886040082325504.html,徐汇-徐家汇-汇贤雅居,95㎡,南北,2室2厅1卫,中楼层（22层）
119,整租·莘浜路157弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2321679093307293696.html,闵行-莘庄-莘浜路157弄,49㎡,南,2室1厅1卫,低楼层（6层）
120,整租·新汇公寓 2室1厅 东南,https://sh.lianjia.com/zufang/SH2335285917499539456.html,徐汇-徐家汇-新汇公寓,93㎡,东南,2室1厅1卫,低楼层（22层）
121,整租·上中西路767弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2319592903917445120.html,闵行-梅陇-上中西路767弄,55㎡,南,2室1厅1卫,高楼层（6层）
122,整租·佳宝新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2333199637319516160.html,闵行-七宝-佳宝新村,38㎡,南,1室1厅1卫,低楼层（6层）
123,整租·莘松二村 2室1厅 南,https://sh.lianjia.com/zufang/SH2318121349807349760.html,闵行-莘庄-莘松二村,48㎡,南,2室1厅1卫,高楼层（5层）
124,整租·龙柏二村 2室1厅 南,https://sh.lianjia.com/zufang/SH2315673051850874880.html,闵行-龙柏-龙柏二村,54㎡,南,2室1厅1卫,高楼层（6层）
125,整租·象屿品城 2室2厅 南,https://sh.lianjia.com/zufang/SH2325819341075128320.html,松江-九亭-象屿品城,82㎡,南,2室2厅1卫,中楼层（11层）
126,整租·黄山始信苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2335450954998497280.html,浦东-金杨-黄山始信苑,70㎡,南,2室1厅1卫,中楼层（5层）
127,整租·塘和家园海康苑 3室1厅 南/北,https://sh.lianjia.com/zufang/SH2321789033422274560.html,松江-泗泾-塘和家园海康苑,83㎡,南北,3室1厅1卫,高楼层（18层）
128,整租·金杨新村三街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2331038633760661504.html,浦东-金杨-金杨新村三街坊,58㎡,南,2室1厅1卫,低楼层（7层）
129,整租·龙柏易居公寓 2室1厅 南,https://sh.lianjia.com/zufang/SH2337578030345756672.html,闵行-龙柏-龙柏易居公寓,74㎡,南,2室1厅1卫,低楼层（18层）
130,整租·龙柏三村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2321034880399441920.html,闵行-龙柏-龙柏三村,62㎡,南北,2室1厅1卫,高楼层（6层）
131,整租·常兴家园 2室1厅 南,https://sh.lianjia.com/zufang/SH2327520558671478784.html,闵行-春申-常兴家园,65㎡,南,2室1厅1卫,高楼层（6层）
132,整租·南极苑 3室1厅 南,https://sh.lianjia.com/zufang/SH2325924168467480576.html,浦东-金桥-南极苑,77㎡,南,3室1厅1卫,低楼层（6层）
133,整租·团结花苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2315905539051364352.html,闵行-莘庄-团结花苑,81㎡,南,2室2厅1卫,中楼层（7层）
134,整租·名仕世家花苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2318112140760203264.html,闵行-颛桥-名仕世家花苑,89㎡,南,2室2厅1卫,中楼层（6层）
135,整租·永新花苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2298567973617025024.html,徐汇-徐家汇-永新花苑,110㎡,南,2室2厅2卫,中楼层（34层）
136,整租·万兆家园(五期) 2室2厅 南,https://sh.lianjia.com/zufang/SH2334908836801937408.html,闵行-七宝-万兆家园(五期),86㎡,南,2室2厅1卫,高楼层（6层）
137,整租·锦梅馨苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2334845899240914944.html,闵行-春申-锦梅馨苑,59㎡,南,1室1厅1卫,中楼层（18层）
138,整租·罗阳三村 2室1厅 南,https://sh.lianjia.com/zufang/SH2314388672524320768.html,闵行-梅陇-罗阳三村,68㎡,南,2室1厅1卫,高楼层（6层）
139,整租·中梅苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2321470153919315968.html,闵行-梅陇-中梅苑,106㎡,南,2室2厅1卫,中楼层（24层）
140,整租·荣盛名邸(公寓) 2室1厅 南,https://sh.lianjia.com/zufang/SH2332587178355326976.html,松江-莘闵别墅-荣盛名邸(公寓),93㎡,南,2室1厅1卫,低楼层（18层）
141,整租·莘南新村 2室2厅 南,https://sh.lianjia.com/zufang/SH2323615435666227200.html,闵行-莘庄-莘南新村,94㎡,南,2室2厅1卫,高楼层（6层）
142,整租·陆家嘴滨江公馆 1室2厅 南,https://sh.lianjia.com/zufang/SH2321673661288808448.html,浦东-洋泾-陆家嘴滨江公馆,70㎡,南,1室2厅1卫,高楼层（29层）
143,整租·莘松三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2331142758598705152.html,闵行-莘庄-莘松三村,35㎡,南,1室1厅2卫,中楼层（5层）
144,整租·通联苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2331836623928426496.html,浦东-金杨-通联苑,96㎡,南,2室1厅1卫,低楼层（11层）
145,整租·牡丹新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2331181225861464064.html,闵行-七宝-牡丹新村,58㎡,南,2室1厅1卫,中楼层（6层）
146,整租·宝仪花苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2320298323422494720.html,闵行-七宝-宝仪花苑,53㎡,南,1室1厅1卫,高楼层（6层）
147,整租·白雪公主 2室2厅 南,https://sh.lianjia.com/zufang/SH2323782668783206400.html,闵行-七宝-白雪公主,94㎡,南,2室2厅1卫,中楼层（11层）
148,整租·凌兆新村(上浦路606弄) 3室1厅 南,https://sh.lianjia.com/zufang/SH2332381077865775104.html,浦东-三林-凌兆新村(上浦路606弄),78㎡,南,3室1厅1卫,高楼层（6层）
149,整租·花苑茶花园 1室1厅 南,https://sh.lianjia.com/zufang/SH2337590823350173696.html,徐汇-康健-花苑茶花园,45㎡,南,1室1厅1卫,低楼层（6层）
150,整租·海德公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH2336728694607060992.html,松江-九亭-海德公寓,115㎡,南,2室2厅2卫,中楼层（6层）
151,整租·九城湖滨国际 2室1厅 南,https://sh.lianjia.com/zufang/SH2338275009065394176.html,松江-九亭-九城湖滨国际,86㎡,南,2室1厅1卫,中楼层（16层）
152,整租·杜鹃园 2室1厅 南,https://sh.lianjia.com/zufang/SH2334723136475635712.html,徐汇-康健-杜鹃园,64㎡,南,2室1厅1卫,高楼层（6层）
153,整租·新虹桥首府(公寓) 2室2厅 南,https://sh.lianjia.com/zufang/SH2337571872512163840.html,松江-九亭-新虹桥首府(公寓),87㎡,南,2室2厅1卫,高楼层（20层）
154,整租·绿地泾南公寓 3室2厅 南,https://sh.lianjia.com/zufang/SH2337477792629006336.html,浦东-洋泾-绿地泾南公寓,123㎡,南,3室2厅2卫,高楼层（6层）
155,整租·寿德坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2321061575576272896.html,徐汇-康健-寿德坊,48㎡,南,1室1厅1卫,低楼层（6层）
